f[Hz],Vi[V],Vo[V],Gv[dB]
10,0.4,0.128,-9.897000434
20,0.4,0.242,-4.364892507
50,0.4,0.505,2.024627736
70,0.4,0.648,4.190300291
80,0.4,0.688,4.710568938
90,0.4,0.725,5.165560305
95,0.4,0.743,5.378576449
100,0.4,0.752,5.483156985
110,0.4,0.791,5.922329843
120,0.4,0.812,6.149920758
130,0.4,0.832,6.361266699
170,0.4,0.88,6.848453616
200,0.4,0.886,6.907474611
220,0.4,0.912,7.15869694
270,0.4,0.93,7.328459145
320,0.4,0.943,7.449034028
500,0.4,0.988,7.853939065
1000,0.4,0.994,7.906527861
2000,0.4,0.994,7.906527861
5000,0.4,1.004,7.99347443
10000,0.4,1.038,8.282747244
20000,0.4,1.026,8.181747389
50000,0.4,1.041,8.307814764
100000,0.4,0.902,7.062930924
